Job_Name,Company_Name,Location,Salary,Description,Skills
Data Analyst - Product,Saavn,"Mumbai, Maharashtra",NA,Have 1-2 years of data analyst experience.Providing assistance to the Product Team with data analysis and guide the product decisions based on insights from…,"Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics"
Data & Insights Analyst II,MoneyGram,NA,NA,"Use data to analyze and evaluate, transform data and insights into business recommendations, communicate learnings and recommendations to various audiences of…","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics"
Digital Data Analyst Intern,DG7,"Vasai, Maharashtra",NA,"Working upon day-to-day data analysis requirements, data visualization, and any data and reporting requirements.Building reports in Excel, Tableau Looker etc.","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics"
Statistical Modeling / Data Analyst - NBFC Mumbai,Innovsource Services Private Limited,"Mumbai, Maharashtra",700000 - 1000000,"Build statistical models leveraging traditional and non-traditional sources of data (phone data,.Expertise in data visualization tools (eg. Tableau).","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics"
"Analyst, Data",XPO Logistics,"Mumbai, Maharashtra",NA,"At XPO Logistics, we’re constantly looking for ways to improve, enhance and adapt in an ever-changing marketplace.What you’ll do on a typical day:","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics"
Quantitative Research Analyst,Dolat Capital,"Mumbai, Maharashtra",NA,Extract predictive signals from financial data through statistical analysis methods.Strong computer programming skills and experience working with data.,"Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics"
Data Analyst - Presales,ConcertAI,"Bengaluru, Karnataka",NA,You will be working on ConcertAI Data and responsible to analyzing these data using data processing/querying tool like SAS or SQL or R. You will collaborate…,"Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics"
Data Analyst,MedTourEasy,"New Delhi, Delhi",700000,Proven working experience as a data analyst or business data analyst.Acquire data from primary or secondary data sources and maintain databases/data systems.,"Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics"
Data Scientist Intern,Salasar New Age Technologies,"Noida, Uttar Pradesh",NA,"Hiring interns with a tremendous desire to learn new/futuristic technologies by continuous research and experimentation, developing prototypes, demonstrating…","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics"
Specialist - Data Quality,Novartis,"Hyderabad, Telangana",NA,"Implement data cleansing and linking strategy as per documented data quality improvement strategy.Develop training materials, documents on scope of the reports…","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics"
Data & Insights Analyst II,MoneyGram,NA,NA,"Use data to analyze and evaluate, transform data and insights into business recommendations, communicate learnings and recommendations to various audiences of…","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics"
Associate Quantitative Analyst,Morningstar,"Mumbai, Maharashtra",NA,"Also, manage the restatement of indexes in case of any data issues and communicate to the clients.Clearly and thoroughly communicate with internal and external…","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics"
Business Analyst Trainee Fresher,AGILE8STUDIO,"Delhi, Delhi",NA,This is an Awesome Opportunity for the individuals who are willing to take full ownership and responsibility of their tasks and want to grow exponentially in…,"Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics"
Business Analyst & Support Internship,Syntellect India Private Limited,"Mumbai, Maharashtra",20000,"Syntellect, the Company, was founded with the objective of giving every deserving customer financial access and every discerning loan giver the ability to…","Structured Query Language,Microsoft Excel,Critical Thinking,Python-Statistical Programming,Data Visualization,Data Visualization,Spreadsheets,Public speaking,Research,Collaboration,Writing,Statistics"
