Job Name,Company Name,Location,Salary,Description,Skills
"DevOps Engineer II - Bengaluru, India","RetailMeNot, Inc.","Bengaluru, Karnataka",NA,"We are looking for a DevOps Engineer II to join our Engineering Operations team. We define, build, and support the AWS infrastructure and tooling needed to…","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Software Engineer,Lionbridge Technologies,"Mumbai, Maharashtra",NA,Analyze/Plan/Build/Govern/Secure/Monitor infrastructure on cloud based on the requirement.Implementing ARM templates for Environment setup and updates.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
DevOps Engineer,Lumiq,India,NA,"Explore about the newest innovations in scalable and distributed systems.Helps in designing the architecture of the project, solutions to the existing problems…","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Azure Cloud Engineer,Talent Acquisition,NA,1000000 - 1400000,Job Location : * India (Remote full time).Relevant experience working on Cloud infrastructure & architecture.A deep understanding of Azure cloud platform.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
DevOps Cloud Engineer,Antier Solutions Pvt. Ltd,"Mohali Sas Nagar, Chandigarh",NA,"Antier a leading brand in Crypto Assets Management and Fintech development, is looking for an AWS DevOps expert:Hands on experience with Docker and Kubernates.","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Systems Engineer-Python,Metric Tree Labs,NA,48000 - 65000,Systems engineer: 1 year (Preferred).We are looking for a Python Developer/System Engineer with 2+ years of experience in web/scripting/Automation to be a part…,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
DevOps Engineer,Hewlett Packard Enterprise,"Bengaluru, Karnataka",NA,Overview: Do you consider yourself a software engineer and leader with a tenacious attitude?Ability to execute on multiple projects as an engineer with…,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
DevOps Engineer,TalentPundits,"Pune, Maharashtra",300000 - 700000,We are looking for candidates with the following skills: *.Understanding of the technical stack required to develop an application and deployment.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Systems Engineer-Python,Metric Tree Labs,NA,48000 - 65000,Systems engineer: 1 year (Preferred).We are looking for a Python Developer/System Engineer with 2+ years of experience in web/scripting/Automation to be a part…,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Senior Devops Engineer (#FlexiJob),HDFC Life,"Mumbai, Maharashtra",NA,"Design, build and manage infrastructure and technology powering our platform.Responsible for building and operating all aspects of AWS cloud-based…","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Project Deployment and Support Engineer New-Delhi – India,Ateme,"New Delhi, Delhi",NA,"We are the fastest growing company of video delivery infrastructure, servicing the global Tier-1 Content Providers, Service Providers and pure OTT players.","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Hiring AWS DevOps Engineer,1Touch Development,"Zirakpur, Punjab",NA,Minimum 2 years of relevant experience.Experience in Cloud Technology for Deployment of Services is a plus (Docker / Kubernetes / OpenShift / Pivotal / AWS /…,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
DevOps Engineer,Taxilla IT Solutions,"Hyderabad, Telangana",NA,Good knowledge in Linux/Unix.Develop and maintain build scripts and tools that will enable build automation and improve the build infrastructure.,"Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
Devops Engineer (Kubernetes),Anubavam,"Chennai, Tamil Nadu",NA,"Kubernetes, python, cloud services, cicd, efk, devops engineer, gluster, galera, docker, ansible, git, saas, senior devops engineer, devops, linux, cloud…","Linux Fundamentals,Scripting,Knowledge On Various DevOps,Technologies,Continuous Integration,Continuous Delivery,Infrastructure As Code,Key concepts of DevOps,Soft skills,Strong Communication,Collaboration Skills, Software Security Skills,Testing Skills,Proactivity"
