Job Name,Company Name,Location,Salary,Description,Skills
3D artist & Generalist | 3D game designer,Fixdax Technology Pvt Ltd,"Noida, Uttar Pradesh",20000 - 50000,"2+ years experience in mobile game design.Should have experience in game UI designing.3D modelers and artists to create 3D characters, environments etc.","Strong IT skills,Problem-solving aptitude,Time management skills,Creativity and culture,Communication skills,Stay abreast of industry developments,Database design,implementation and management,Software Development Frameworks,Virtual Reality Software Design,User Interface Design,IT Professional Practice Project,C++,Level design,Game Development,Adobe Photoshop,Maya,EPIC Unreal Engine,Zbrush,Research,Organizational Skills,Writing,Problem Solving,Communication Skills,Creativity,Collaboration,Teamwork"
3d visualizer | Animator | 3D Game designer | 3D Generalist,Fixdax Technology Pvt Ltd,"Noida, Uttar Pradesh",23266 - 28436,Minimum of 2 years’ experience as an Environment / Props artist in mobile game development.Shipped two or more games on mobile.Temporarily due to COVID-19.,"Strong IT skills,Problem-solving aptitude,Time management skills,Creativity and culture,Communication skills,Stay abreast of industry developments,Database design,implementation and management,Software Development Frameworks,Virtual Reality Software Design,User Interface Design,IT Professional Practice Project,C++,Level design,Game Development,Adobe Photoshop,Maya,EPIC Unreal Engine,Zbrush,Research,Organizational Skills,Writing,Problem Solving,Communication Skills,Creativity,Collaboration,Teamwork"
Pipeline ATD,DNEG,"Mumbai, Maharashtra",NA,Provide technical advice and support for artists.You will be working closely with the Pipeline TDs to provide face-to-face support for artists.,"Strong IT skills,Problem-solving aptitude,Time management skills,Creativity and culture,Communication skills,Stay abreast of industry developments,Database design,implementation and management,Software Development Frameworks,Virtual Reality Software Design,User Interface Design,IT Professional Practice Project,C++,Level design,Game Development,Adobe Photoshop,Maya,EPIC Unreal Engine,Zbrush,Research,Organizational Skills,Writing,Problem Solving,Communication Skills,Creativity,Collaboration,Teamwork"
Mobile Game Artist - 2D/3D,forstaffing india,"Noida, Uttar Pradesh",NA,3+ years of experience in game development and game art.Should have worked on global games (western style games).Experience required- 3-5 years.,"Strong IT skills,Problem-solving aptitude,Time management skills,Creativity and culture,Communication skills,Stay abreast of industry developments,Database design,implementation and management,Software Development Frameworks,Virtual Reality Software Design,User Interface Design,IT Professional Practice Project,C++,Level design,Game Development,Adobe Photoshop,Maya,EPIC Unreal Engine,Zbrush,Research,Organizational Skills,Writing,Problem Solving,Communication Skills,Creativity,Collaboration,Teamwork"
2D/UI/UX ARTIST,Bot Rods,"Bengaluru, Karnataka",NA,"Job Description: The 2D Artist will be responsible for creating game concepts, UI/UX design and 2D assets for our games.","Strong IT skills,Problem-solving aptitude,Time management skills,Creativity and culture,Communication skills,Stay abreast of industry developments,Database design,implementation and management,Software Development Frameworks,Virtual Reality Software Design,User Interface Design,IT Professional Practice Project,C++,Level design,Game Development,Adobe Photoshop,Maya,EPIC Unreal Engine,Zbrush,Research,Organizational Skills,Writing,Problem Solving,Communication Skills,Creativity,Collaboration,Teamwork"
Mobile Game Artist - 2D/3D,forstaffing india,"Noida, Uttar Pradesh",NA,3+ years of experience in game development and game art.Should have worked on global games (western style games).Experience required- 3-5 years.,"Strong IT skills,Problem-solving aptitude,Time management skills,Creativity and culture,Communication skills,Stay abreast of industry developments,Database design,implementation and management,Software Development Frameworks,Virtual Reality Software Design,User Interface Design,IT Professional Practice Project,C++,Level design,Game Development,Adobe Photoshop,Maya,EPIC Unreal Engine,Zbrush,Research,Organizational Skills,Writing,Problem Solving,Communication Skills,Creativity,Collaboration,Teamwork"
Unity3D Developer,DYMERSE,"Mumbai, Maharashtra",NA,Building reliable and efficient code for game projects.Well versed in developing games on Unity 3D for mobile platform.Understanding of using Unity plugins.,"Strong IT skills,Problem-solving aptitude,Time management skills,Creativity and culture,Communication skills,Stay abreast of industry developments,Database design,implementation and management,Software Development Frameworks,Virtual Reality Software Design,User Interface Design,IT Professional Practice Project,C++,Level design,Game Development,Adobe Photoshop,Maya,EPIC Unreal Engine,Zbrush,Research,Organizational Skills,Writing,Problem Solving,Communication Skills,Creativity,Collaboration,Teamwork"
TECHNICAL ARTIST,Hitwicket,"Hyderabad, Telangana",NA,The technical artist acts as a link between the artists and the programmers working on a game.Experience using Unity as a technical artist.,"Strong IT skills,Problem-solving aptitude,Time management skills,Creativity and culture,Communication skills,Stay abreast of industry developments,Database design,implementation and management,Software Development Frameworks,Virtual Reality Software Design,User Interface Design,IT Professional Practice Project,C++,Level design,Game Development,Adobe Photoshop,Maya,EPIC Unreal Engine,Zbrush,Research,Organizational Skills,Writing,Problem Solving,Communication Skills,Creativity,Collaboration,Teamwork"
Product Manager,Games2win,"Mumbai, Maharashtra",NA,"He/She will be doing market studies of competitive games and continuously improving our games.At a later date, if you were given absolute independence to…","Strong IT skills,Problem-solving aptitude,Time management skills,Creativity and culture,Communication skills,Stay abreast of industry developments,Database design,implementation and management,Software Development Frameworks,Virtual Reality Software Design,User Interface Design,IT Professional Practice Project,C++,Level design,Game Development,Adobe Photoshop,Maya,EPIC Unreal Engine,Zbrush,Research,Organizational Skills,Writing,Problem Solving,Communication Skills,Creativity,Collaboration,Teamwork"
UI Artist,PIXLALOT LABS,"Hyderabad, Telangana",NA,"Evolve and create visuals for the game UI & marketing with Clear, intuitive, and beautiful interfaces.Able to quickly come up with new visual treatments as…","Strong IT skills,Problem-solving aptitude,Time management skills,Creativity and culture,Communication skills,Stay abreast of industry developments,Database design,implementation and management,Software Development Frameworks,Virtual Reality Software Design,User Interface Design,IT Professional Practice Project,C++,Level design,Game Development,Adobe Photoshop,Maya,EPIC Unreal Engine,Zbrush,Research,Organizational Skills,Writing,Problem Solving,Communication Skills,Creativity,Collaboration,Teamwork"
3D Character Modeler,Trium Designs,"Vadodara, Gujarat",NA,* Job Description : We have an open position for a 3D Character Modeler. As a 3D Character Modeler you will be responsible for creating character models and…,"Strong IT skills,Problem-solving aptitude,Time management skills,Creativity and culture,Communication skills,Stay abreast of industry developments,Database design,implementation and management,Software Development Frameworks,Virtual Reality Software Design,User Interface Design,IT Professional Practice Project,C++,Level design,Game Development,Adobe Photoshop,Maya,EPIC Unreal Engine,Zbrush,Research,Organizational Skills,Writing,Problem Solving,Communication Skills,Creativity,Collaboration,Teamwork"
Lead Game Developer,HungamaGames,"Hyderabad, Telangana",NA,Working experience in multiplayer games.Lead level experience in large scale games.Experience in full cycle quality game development.,"Strong IT skills,Problem-solving aptitude,Time management skills,Creativity and culture,Communication skills,Stay abreast of industry developments,Database design,implementation and management,Software Development Frameworks,Virtual Reality Software Design,User Interface Design,IT Professional Practice Project,C++,Level design,Game Development,Adobe Photoshop,Maya,EPIC Unreal Engine,Zbrush,Research,Organizational Skills,Writing,Problem Solving,Communication Skills,Creativity,Collaboration,Teamwork"
