Job_Name,Company_Name,Location,Salary,Description,Skills
Scala Programmer / Developer,RJS Tech Solutions LLP,NA,250000 - 350000,This is an important role in our organisation that requires the candidate to work on the core API platform of our game engine.This is NOT FOR FRESHERS.,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Game Developer / Programmer Unity3D,MastersDen Studio Pvt Ltd,"Bengaluru, Karnataka",20000 - 40000,"Looking for an experienced developer for improvements of a Rummy card game.Planning and implementing game functionality.Solid programming in C# , JAVA.","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Game Developer,RV Technologies Softwares Pvt Ltd,NA,40000 - 70000,We are looking for a Game developer to turn a game idea into code on a fast-moving environment.Game development: 2 years (Required).AR/VR: 1 year (Required).,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Script Writer for a Math Learning Platform,DYMERSE,"Mumbai, Maharashtra",25000 - 35000,Develop interactive games/activities/exercises to engage the user.Direct the developers about how the narrative has to be visualized.,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Unity Developer,Zartek Technologies,"Kochi, Kerala",50000 - 70000,"Someone with strong fundamentals in mobile game development: understand design patterns, the architecture of games, and device APIs.Be very fluent in Unity3D.","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Unity Developer,Migoi Studios,"Thane, Maharashtra",NA,"You would be in charge delivering a game from start to finish, up until publishing of the game.Ideally you should have experience developing games for the iOS…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Unity / Unreal Developer,Buzzark Simulations pvt ltd,"Chennai, Tamil Nadu",18000 - 30000,"The candidate requires to have relevant experience of developing games and applications on Unreal or Untiy Engine.Job Types: Full-time, Part-time, Contract.","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Unity3D Game Developer,Greencom EbizzInfotech LLP,"Surat, Gujarat",NA,"Translate design specification into functional game.Implement game functionality as per communicated design.Excellent knowledge of Unity, including experience…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Unity Game Developer,Atm Softek,"Sech Bhavan, West Bengal",120000 - 300000,Designing and building game codes.Testing game functionality and theme dynamics.Experience with mobile and console game development.,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Unity Developer,Magostech Information System Pvt. Ltd.,"Noida, Uttar Pradesh",30000 - 50000,"Good knowledge of game physics and particle systems, game designing skills are a definite plus • Experience with coordination with UI development team.","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Software Developer,STT Paytechs,"Chennai, Tamil Nadu",1000000 - 1500000,"500,000. It is inolved in Software publishing, consultancy and supply [Software publishing includes production, supply and documentation of ready-made (non…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Unity3D Developer,Sachetan Knowledge Companions Pvt Ltd.,"Mohali, Punjab",25000 - 60000,Experience with game physics and particle systems.Experience with 2d and 3D mobile and console game/app development.Good knowledge of 3D Maths.,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Unity Developer,Aim Digitech,"Jaipur, Rajasthan",25000,You should be able to create games like.You Should have experience in integrating Ads in the games.Required Candidates having knowledge on creating 2D Games…,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Android Developer. Pune,Choice Techlab,"Pune, Maharashtra",NA,"With so many ways to contribute here, chances are good you’ll find a way to do what you love.We need the best of the best to create software & cloud solutions,…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Augmented Reality Developer Freelancer,PegaLogics,"Noida, Uttar Pradesh",NA,"Strong knowledge of Unity game networking paradigms.Candidates must have proven professional programming experience in video games, serious games, simulations,…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
iOS Developer,Whyphy Infotech,NA,20000 - 30000,The responsibility of the selected developer is to create and maintain our game products coded in Swift as native ios apps.Developer with knowledge of Socket.,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
iOS Developer,Whyphy Infotech,NA,20000 - 30000,The responsibility of the selected developer is to create and maintain our game products coded in Swift as native ios apps.Developer with knowledge of Socket.,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Hybrid Developer,Livepages,"Mumbai, Maharashtra",NA,"Responsible for developing new mobile and tablet based applications using Android SDK and/or PhoneGap, for supporting and enhancing existing mobile related…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Unity3D Developer,OJAS Softech,"Noida, Uttar Pradesh",NA,Translate design specifications into functional game.Implement game functionality as per communicated design.Strong Experience of Unity3D programming.,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
MLM Developer,Tronosoft Technology,"Noida, Uttar Pradesh",NA,"Solid foundation in AJAX, ASP.Net, ADO.Net, C#, SQL Server 2000, IIS, COM , JavaScript and different Windows Server Stages.Capacity to work as a group.","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Lead Game Developer,Tavat Consultancy,India,NA,"Location:Gurgaon category:IT Software – Mobile experience:3 – 5 Years Company:Emploi Consultancy, Source URL: https://www.wisdomjobs…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Full Stack Developer,Fluke,"Bengaluru, Karnataka",NA,Description The software team at Fluke Calibration is looking for a mid-level full stack developer to join a newly formed team delivering an exciting game…,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
IOS Developer,REVELATION software Labs,"Bengaluru, Karnataka",NA,You will be working alongside other engineers and developers working on different layers of the infrastructure.WORK EXPERIENCE 4 - 6 YEARS.,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Social Media Lead,Outsource Bigdata,"Bengaluru, Karnataka",NA,"A demonstrated ability to engage developers, designers, and entrepreneurs is a plus.Social Media Lead: At FullStackTechies, you will build the social media…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Looking For UNITY Developers,SNK IT Solutions,"Surat, Gujarat",NA,Translate design specification into functional game.Experience with game physics and particle systems.Experience with mobile and console game development.,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Developer - .Net Azure with Kafka,GalaxE.Solutions,"Noida, Uttar Pradesh",NA,"We are always looking for passionate, entrepreneurial-minded innovators and disrupters; game-changers that take ownership in the work they produce and bring it…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Lead Visual Designer(IC) – Game Changing Product – Remote Wo...,CareerXperts,Remote,NA,An incredibly rare opportunity to join a well-funded early stage high impact Tech start-up backed by marquee investors and led by a second time entrepreneur…,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Senior Game Developer,Photontadpole,India,NA,"As a senior game developer, you will be expected to:Create maintainable and scalable game architecture.Create technical specs from game design docs.","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Android Developer,Crypto Mize,"Delhi, Delhi",NA,"We have an in-house bar with a large choice of wines, beers and arcade games.An Android developer is responsible for developing and designing advanced…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Senior Scala Engineer,HERE Technologies,"Mumbai, Maharashtra",NA,"As part of the Rendering R&D group you will be working within a team of developers, DevOps and architects.This is a dynamic role within a high-achieving team…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Scrum Master,Cybertill,"The Rutu Estate, Thane, Maharashtra",NA,"There are several sporting activities that take place; some being regular, such as weekly 6-a-side football and others organised to show support for our…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Technical Architect - Drupal,QED42,"Pune, Maharashtra",NA,"Work closely with Project Managers, tech leads and developers on efficient delivery.Intense experience in Drupal development that would bring your game to a…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Quality Analyst - Testing,Maxwell GeoSystems,"Kochi, Kerala",NA,"This is revolutionary software, replacing outdated Excel reporting and a real game-changer for the industry.The company is seeking an outstanding, experienced…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
DevOps Engineer,Team Liquid,"Bengaluru, Karnataka",NA,"As a global organization across many different continents, cultures, and games, our developers must be able to work with all staff who require their expertise.","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
iOS Developer,Whyphy Infotech,NA,20000 - 30000,The responsibility of the selected developer is to create and maintain our game products coded in Swift as native ios apps.Developer with knowledge of Socket.,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
PHP Developer,Crypto Mize,"Delhi, Delhi",NA,Responding to integration requests from front-end developers.Work on the integration of user-facing elements designed by front-end developers.,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
iOS Developer,Flipworks Technology,"Rajkot, Gujarat",NA,"Flipworks Technology, a Rajkot based company is looking for IOS Developer. Why Flipworks Technology * We are on an epic mission: helping millennials…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Senior Drupal Developer - Front End,QED42,India,NA,Intense experience in Drupal development that would bring your game to a whole another level.Work alongside highly experienced and talented designers and…,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
R&D Engineer (Mobile),Ubisoft,"Pune, Maharashtra",NA,"Ubisoft is a leading developer and publisher of video games worldwide whose brand portfolio covers blockbusters such as Assassins Creed, Prince of Persia and…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Engineering,TechKart Technologies,"Jayanagar, Bengaluru, Karnataka",NA,"As a Sr. Web Developer, you will be responsible for the design and coding of key features of our game changing products.","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
iOS Developer,Aimbeyond Infotech,"Noida, Uttar Pradesh",NA,We are looking for a 2-4 years of experienced self-motivated iPhone app developer to join our core dynamic team.IOS Developer (2-4 yrs).,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
SENIOR SOFTWARE ENGINEER,Happiest Minds Technologies,"Bengaluru, Karnataka",NA,"Front end Developer About Happiest Minds Technologies Happiest Minds, the Mindful IT Company, applies agile methodologies to enable digital transformation…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Full Stack Software Developer,Securly,"Pune, Maharashtra",NA,"3-7 years of relevant experience as a full-stack developer.Securly software developers excel at solving tough problems, collaborating well, and working in…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Senior Software Engineer(Bangalore),Evive,"Bengaluru, Karnataka",NA,"Evive people are game-changers.You build large scale, distributed, fault tolerant systems and software, working in a team environment with product managers,…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Engineering Manager/ Technical Architect,Zvky design studio private limited,"Bengaluru, Karnataka",NA,ZVKY Design Studio is having an exciting new opportunity for the role of Engineering Manager. Total Experience- 6 to 10 years The ideal candidate should have…,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Unreal Programmer,Goalreify,"Hyderabad, Telangana",NA,Job Description Required Skills: 2+ Years of experience in the video game industry Work closely with other art team members including Modelling team and…,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Salesforce Engineer,Junglee Games,"Gurgaon, Haryana",NA,"You will be working with other engineers and developers on different layers of the infrastructure.Some of our notable games are Junglee Rummy, Eatme.io,…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Senior Cloud Architect -Infra,AWS ProServe IN - Karnataka,"Bengaluru, Karnataka",NA,· BS level technical degree or equivalent professional · Customer facing skills to represent AWS well within the customer’s environment and drive discussions…,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Animation Engineer,Spycons,"Bengaluru, Karnataka",NA,"Job description We’re looking for someone with strong communication skills, a self-driven approach to work to the highest quality with an eagerness to…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Senior Cloud App Architect,AWS ProServe IN - Karnataka,India,NA,· Bachelors level technical degree or equivalent experience; Computer Science or Engineering background preferred; Masters Degree desired. · 15+ years of Hands…,"Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Principal Engineer - DevSecOps,Junglee Games,"Bengaluru, Karnataka",NA,"Some of our notable games are Junglee Rummy, Eatme.io, Junglee Teen Patti, and Howzat.Our mission is to build entertainment for millions of people around the…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Senior Software Engineer - Consumer Trust -P3,Twilio,"Bengaluru, Karnataka",NA,"Help more junior developers by mentoring them, providing guidance, and positively influencing their careers.Twilio is a company that is empowering the world's…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Senior Software Engineer - Consumer Trust -P3,Twilio,"Bengaluru, Karnataka",NA,"Help more junior developers by mentoring them, providing guidance, and positively influencing their careers.Twilio is a company that is empowering the world's…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Senior Software Engineer - Consumer Trust -P3,Twilio,"Bengaluru, Karnataka",NA,"Help more junior developers by mentoring them, providing guidance, and positively influencing their careers.Twilio is a company that is empowering the world's…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Senior Software Engineer - Consumer Trust -P3,Twilio,"Bengaluru, Karnataka",NA,"Because you belong at Twilio. The Who, What, Why and Where Twilio is growing rapidly and seeking Senior Software Engineers at multiple levels to be key…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Senior Software Engineer - Consumer Trust -P3,Twilio,"Bengaluru, Karnataka",NA,"Because you belong at Twilio. The Who, What, Why and Where Twilio is growing rapidly and seeking Senior Software Engineers at multiple levels to be key…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Senior Software Engineer - Consumer Trust -P3,Twilio,"Bengaluru, Karnataka",NA,"Help more junior developers by mentoring them, providing guidance, and positively influencing their careers.Twilio is a company that is empowering the world's…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Senior Software Engineer - Consumer Trust -P3,Twilio,"Bengaluru, Karnataka",NA,"Help more junior developers by mentoring them, providing guidance, and positively influencing their careers.Twilio is a company that is empowering the world's…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Senior Software Engineer - Consumer Trust -P3,Twilio,"Bengaluru, Karnataka",NA,"Because you belong at Twilio. The Who, What, Why and Where Twilio is growing rapidly and seeking Senior Software Engineers at multiple levels to be key…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Senior QA Lead,ReelNRG PVT Limited,NA,60000 - 70000,"Work with developers and POs to ensure that automated tests written provide sensible coverage.Support development team, own the quality process and to build…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
Senior Software Engineer - Consumer Trust -P3,Twilio,"Bengaluru, Karnataka",NA,"Help more junior developers by mentoring them, providing guidance, and positively influencing their careers.Twilio is a company that is empowering the world's…","Collaboration,Time management,Criticaial Thinking,Effective communication, Creativity,Stortelling ability,Adaptablity,Programming knwoldge,Multimedia Development software,Persistence"
