Job_Name,Company_Name,Location,Salary,Description,Skills
MEAN Stack Developer,NunCeyali Private Limited,"Chennai, Tamil Nadu",NA,"Website and software application designing, building, or maintaining.Using scripting or authoring languages, management tools, content creation tools,…","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
MEAN Stack Developer,Toolsvilla,NA,50000 - 100000,We are an e-commerce platform & we are looking for product development head who has a deep knowledge & previous experience on the following languages/platform.,"Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
MEAN/Full Stack Developer,Perfexion Information Technologies Pvt. Ltd.,"Madhapur, Hyderabad, Telangana",NA,"Passionate Software Engineer who contributes to define, implement and maintain highly, scalable, distributed and resilient software applications.","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
MEAN Stack Developer,GAC DIGITALS PRIVATE LIMITED,"Hyderabad, Telangana",NA,"Fundamental knowledge of application development using Java technologies like Node.JS, Express and Frameworks such as JDBC,Bootstarp, Spring,MangoDB, XML, XSLT…","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
MEAN Stack Developer,Hinduja Tech Limited,"Perungalathur, Chennai, Tamil Nadu",30000 - 35000,"Candidates with Min 2 - 4 experiance as MEAN Stack Developer with the exposure in Mongo DB, Express,Node Js, Angular.Expected Start Date: 16/9/2020.","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Hiring Mean Stack Developer.!,Solution Analysts Pvt Ltd,"Ahmedabad, Gujarat",250000 - 400000,"Our 200+ engineers are the lifeblood of our company.With our robust offering of career development opportunities, your chances to grow are limitless.","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
MEAN Stack Developer,Solwin Infotech,"Surat, Gujarat",NA,"Ability to manage and lead a team of developers.We have a job opening for a MAEN Stack developer.We are looking for someone who loves to work in Node JS,…","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Technical Lead MEAN Stack Developer (IT Jobs),HR Inc Consultants,India,800000 - 1000000,Strong knowledge and development experience on full MEAN stack and frameworks like loopback.Strong knowledge and development experience on full MEAN stack and…,"Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Full Stack Developer,Vistaar Digital,"Mumbai, Maharashtra",NA,Provide mentoring for junior developers.Develop project solutions both independently and paired with other developers.Provide support for production systems.,"Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Software Developer freshers,Radical Technologies,India,NA,"Knowledge in- Postgres, Scraper, AWS, SQL server, Mean stack, MVC .Looking for Software Developer freshers who completed courses in 2018- 2020.","Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
Lead MEAN Stack Developer,Chapter247,"Indore, Madhya Pradesh",NA,Interact with front-end developers to make sure API endpoints provide the appropriate data for various applications.Experience: 3-6 yrs (Relevant 3 yr).,"Node js,Mongo DB,Angular js,Express Js,DEvelop,Test,fast,robust, highly responsive,relational databases,non-relational databases,development environment tools,development environment tools,PHP, jQuery, MySQL, Symfony, OOPS"
