Job Name,Company Name,Location,Salary,Description
IT System Administrator,Warade PackTech Private Limited,"Pune, Maharashtra",NA,Knowledge of system security (e.g. intrusion detection systems) and data backup/recovery.Advises and trains clients regarding server systems.
JR IT SYSTEM ADMINISTRATOR,Trimble,"Chennai, Tamil Nadu",NA,"Trimble Inc. is proud to be an Equal Opportunity and Affirmative Action Employer and considers qualified applicants for employment without regard to race,…"
System Administrator 2-IT,Oracle,"Hyderabad, Telangana",NA,Coordinate with Tier 2 support teams to establish and manage clear escalation guidelines for supported system components.System Administrator 2-IT-20000Q0O.
"Technical Support, System Administrator",Renovision Automation Services Private Limited,"Delhi, Delhi",200000 - 270000,Comp- Wipro Infotech Client- Deloitte Payroll- RASPL Skill : Desktop Support Engineer L2 Salary- 24k CTC/20k in hand.First Level support for all Desktop calls.
Windows Administrator,TAXOSMART,"Mumbai, Maharashtra",NA,"2.Windows administrators requires to interpret error logs, monitor system performance data,.System administration: 1 year (Preferred)."
Technical Trainer - (4 to 12 years of experience),Mylan Laboratories Limited,NA,NA,Mylan is a global pharmaceutical company committed to setting new standards in healthcare and providing 7 billion people access to high quality medicine.
Unix System Administrator,IBM,"Bengaluru, Karnataka",NA,Proficient in SAN S/W and storage administration and integration with operating systems.Proven experience in risk-based systems running on UNIX / LINUX…
System Administrator,Madhees Techno Consultants Pvt Ltd,"Hyderabad, Telangana",NA,"System administration: 1 year (Required).Proactively manage and maintain server, network and firewall systems.A solid understanding of LAN/WAN networking."
IT Administrator,Platforming,"Nashik, Maharashtra",15000 - 20000,"VoIP and conferencing systems management.Installation, configuration and administration for windows client operating systems.Desktop level support management."
Tivoli Storage Manager Administrator,Softenger,"Mumbai, Maharashtra",NA,"Customer as part of TSM system administration task.Hyderabad site by TSM L1/L2 system admin team and based on Software.Experience Required : 3-4 yrs,."
Network & System Administrator,ITarium Technologies India Pvt Ltd,"Pune, Maharashtra",NA,"Knowledge in Windows & Linux environments, handling high-end servers, Desktop support.System administration on Windows 7,10 pro, Linux (Ubuntu, Cent OS), MAC."
IT System Engineer,CHOKSI VACHHRAJ MAKANJI (CVM),NA,10000 - 15000,· Upgrade systems with new releases and models.· Familiarity with various operating systems and platforms.· Monitor performance and maintain systems according…
Linux Server Administrator,LA Technologies,"Mumbai, Maharashtra",NA,"Job Description A) Implementation of Linux based Firewalls , CRM.B) Product Development using Linux Operating System."
Desktop Support Engineer,Prabhat Group of Industries,"Mumbai, Maharashtra",13000 - 15000,Keeping a check on the security software and system are well deployed in the company and the same are working smoothly and renewed timely.
System Administrator,E3 Retail,"Gurgaon, Haryana",NA,"Preparing and maintaining systems (Desktop, laptop, POS or any other hardware) for all team members./ MCA with 2 years of experience."
Jr. Windows System Admin,Netedge Technology,"Ahmedabad, Gujarat",12000 - 20000,"Knowledge of network security systems, intrusion detection systems, and data backup.Troubleshooting system and server errors."
