Job Name,Company Name,Location,Salary,Description
UI/UX Developer,Flixx IT Systems Private Limited,"Bengaluru, Karnataka",500000 - 700000,"We are looking for someone who is an expert in UI design, UX design, and front-end development to join our growing company.Total work: 5 years (Required)."
Android Developer,AllinCall Research and Solutions,"Mumbai, Maharashtra",600000 - 800000,"Important Note*: Only shortlisted candidates would be contacted for further discussion.We, at CognoAI (AllinCall), are searching for a brilliant, flexible…"
UI/UX Developer,Datagrid Digital Marketing Agency,"Mumbai, Maharashtra",NA,Coordinate with web / mobile app developer to integrate the front end work with backend platform.Responsible for creating layout deigns and graphics for the…
Web Developer,Shipkar Express,"Mumbai, Maharashtra",10000 - 30000,The developer is required to have the following knowledge.Use third party apis.Clear in writting logics related to the requirement of the apps.
UI/UX Developer,Bew Dezins,"Kochi, Kerala",NA,You are a talented UI/UX designer & developer with a passion for creating amazing user experiences.You have an impeccable eye for clean and interesting design.
UI/UX Developer,Civica,"Vadodara, Gujarat",NA,"UI/UX Developer - Vadodara - India.We require an UI/UX Developer to join our team in Vadodara, India to convert complex business functionalities and work flows…"
UI Developer / Designer,Atkku Services India Private Limited,"Coimbatore, Tamil Nadu",35000 - 40000,Ability to work both independently with little direction and as part of a team of developers with different experience levels.Ability to flex and adapt.
UI VP Role,Morgan Stanley,"Mumbai, Maharashtra",NA,This senior Web developer position is for the buildout of requisite framework and application development for our strategic Settlements UI & Workflow…
UI/UX Developer,Prabhudas Lilladher,"Worli, Mumbai, Maharashtra",NA,Details for UI/UX Developer• • Design and creation of the best online user experience (UX) and user interface (UI) of our digital platform; so that all the…
UX Designing Internship,Center Of Digital Excellence Private Limited,"Noida, Uttar Pradesh",5000 - 10000,Communicate design ideas and prototypes to developers 8.Center Of Digital Excellence Private Limited is a leading organization in the field of automation which…
App Developer,Vitech World,"Delhi, Delhi",15000 - 25000,* App design using Eclipse and Java * Software design * Coding * Native app writing ability * Backend web services knowledge * Knowledge of UX and UI * Unit…
UX Developer,ALTIMETRIK India,"Chennai, Tamil Nadu",NA,"You will collaborate on a broad range of work from browser based web-sites to native apps and be part of a multi-location, multi-functional team of UX, VD and…"
ReactJS Developer,Starlly SolutionsPrivate Limited,"Bengaluru, Karnataka",NA,"We are looking for a ReactJS developer with 2+ years of experience.You will coordinate with other team members, including back-end developers and UX/UI…"
UI/ UX Designer,63 moons technologies,"Mumbai, Maharashtra",NA,"Skill Sets: HTML5, CSS3, Photoshop, DreamWeaver, JavaScript/JQuery, Ionic.Job Details: • Proficiency in Photoshop, Illustrator, or other visual design and wire…"
Full Stack Developer,Team Ideal pvt. Ltd.,"Bengaluru, Karnataka",2000000 - 3000000,Urgent Hiring For \*FULL\* \*STACK\* \*DEVELOPERS\* Location: - South \*REQUIREMENT\*: - Minimum 7 Years of experience. - Only prefer candidates from IIT…
UI/UX Developer: 2-4 years experience,CloudPanel Technologies,"Bengaluru, Karnataka",NA,"You can mail us your resume to career@cloudpaneltec.com.UI/UX Developer: 2-4 years experience.# Experience in JavaScript, HTML, CSS."
