Job Name,Company Name,Location,Salary,Description
iOS Developer,Ness Technologies,"Bengaluru, Karnataka",NA,Overall 3 -5 years of IT experience with 1-2 years of related experience.Expertise in iOS- Xcode and Interface Builder.Understanding of OOPS design patterns.
Urgent Hiring iOS Developer (2-5 yrs) | QuyTech,Quy Technologies Pvt Ltd.,"Gurgaon, Haryana",60000,We are urgently looking for an iOS Developer (1.5-5 yrs) at Quytech.*.Quy Technology Pvt. Ltd. is an award winning IT consulting company.
Sr. iOS Developer(VoIP),Voxvalley,India,NA,We are looking for an iOS developer responsible for the development and maintenance of advanced Applications aimed at a range of iOS devices including mobile…
IOS App Developer,ideamagix,"Mumbai, Maharashtra",NA,"Communicate with a team of developers, designers, project managers, and other personnel to ship new features.Handle software updates, patches, and bug fixes."
iOS Developer,Joulestowatts business solutions,"Bengaluru, Karnataka",500000 - 2500000,Looking for an iOS developer with swift experience for an leading MNC client.Sr. Developer- iOS Native Mobile-App.Looking experience in to swift majorly.
iOS Developer,RAROME,India,NA,"Strong knowledge of JAVA, J2ME, Android SDK, remote data via REST and JSON, Android UI design principles, patterns, third-party libraries, and APIs."
iOS Developer,STYPIX,NA,20000 - 50000,You will be working alongside other engineers and developers working on different layers of the infrastructure.Identify and correct bottlenecks and fix bugs.
Freelance Mobile Apps Developer (iOS & Android Native),Spectra Infosystems,"Hyderabad, Telangana",NA,"Our company is a leading IT services, consulting and outsourcing company delivering exceptional business solutions and customer value to its customers worldwide…"
IOS Developer,IGENUZ REAL TIME SOFTWARE,"Kochi, Kerala",NA,We are looking for an IOS Developer who possesses a passion for pushing mobile technologies to the limits and will work with our team of talented engineers to…
IOS Developer,Esperanza Tech,"Izzat Nagar, Hyderabad, Telangana",NA,You will be working alongside other engineers and developers working on different layers of the infrastructure.Identify and correct bottlenecks and fix bugs.
iOS Developer,ZydeSoft,"Ekkaduthangal, Tamil Nadu",NA,"Experience: 2 to 5 years.Proficient with Swift/Objective C and Cocoa Touch.Experience with iOS frameworks such as Core Data, Core Animation, etc."
Sr iOS Developer (SSDE-1/2),Discovery,"Mumbai, Maharashtra",NA,"Discovery, Inc. is a global leader in real life entertainment, serving a passionate audience of super-fans around the world with content that inspires, informs…"
iOS Developer,Mapprr,"Hyderabad, Telangana",NA,We are looking for IOS Developers to work on a product development who possesses a passion for pushing mobile technologies to the limits and will work with our…
Jr. Software Engineer / Jr.Software Consultant (Andriod/IOS...,Refixd Technology Pvt Ltd,"Bengaluru, Karnataka",400000 - 500000,"Knowledge of Android UI design principles, patterns, and best practices.Experience in developing data driven application.Experience with Android/ iOS SDK."
